Date,maxAT,meanAT,minAT,meanRH,maxRH,minRH,meanDP,meanLW,meanSM,meanST,meanRF,Foci,meanAT_5d,meanRH_5d,meanLW_5d,meanDP_5d,meanSM_5d,meanST_5d,meanRF_5d,temp_humidity_5d,leafwet_humidity_5d,dewpoint_diff_5d,Foci_lag1
2022-07-11,30.392007827758803,24.1171684265137,17.2119903564453,56.6145133972168,84.3758239746094,34.9247360229492,14.0734882354736,0.0,0.213118702173233,23.5533447265625,0.0,18.82632679368671,25.545150375366216,63.29128570556641,11.717778682708728,17.30947570800783,0.23980178534984603,24.71344642639162,0.0435002371668816,1616.7854107989601,741.6332784419137,8.235674667358385,20.09036030937558
2022-07-13,33.4220085144043,28.2642478942871,22.9459953308105,52.8288803100586,85.2962188720703,31.9355621337891,16.6665687561035,0.0,0.20347535610199,26.8481178283691,0.0,24.765782399547295,24.944183731079118,61.01928482055664,9.234691524505608,16.099090957641614,0.235519626736641,24.3467067718506,0.017833404242992405,1522.076251703012,563.4942723637881,8.845092773437504,18.82632679368671
2022-07-14,32.1760025024414,27.2969970703125,22.3479919433594,54.1690330505371,80.0232391357422,35.7105293273926,16.5099868774414,0.0,0.198448687791824,26.5904998779297,0.0,13.132386578004152,25.603233718872076,63.4852882385254,9.234691524505608,17.4551254272461,0.2268886536359788,24.82750091552734,0.017833404242992405,1625.4286724809263,586.2670532271061,8.148108291625977,24.765782399547295
2022-07-15,29.6680145263672,25.5763339996338,21.6839942932129,52.6614685058594,78.4475708007813,37.3491668701172,14.719564437866202,0.0,0.195262044668198,25.8506107330322,0.0,16.882831069609495,25.69674911499024,61.36661071777344,9.000166702270501,16.946923828125,0.2176486730575562,25.04220809936524,0.017833404242992405,1576.9223996518951,552.3097264133006,8.749825286865239,13.132386578004152
2022-07-18,30.5600070953369,26.6585845947266,24.1199951171875,79.8037261962891,89.8782119750977,62.4060974121094,22.75807762146,33.5363464355469,0.296601086854935,25.3710517883301,0.44583384195963505,20.304711375212232,25.981116104125977,57.70323181152344,3.5001617431640595,16.19672088623046,0.2091126918792726,25.34618492126464,0.005000025530656186,1499.194365278486,201.9706444436217,9.784395217895518,16.882831069609495
2022-07-20,35.0620040893555,29.7200012207031,23.9279937744141,57.346405029296896,77.3931884765625,39.3726768493652,19.9014110565186,0.0,0.28351366519928,27.8315124511719,0.0,46.64834465195241,26.382666397094745,59.215524291992196,6.707269287109381,16.94553718566894,0.22138117551803602,25.64272499084472,0.08916676839192701,1562.26342292469,397.17446740375874,9.437129211425805,20.304711375212232
2022-07-21,33.9960021972656,29.6727485656738,25.6119956970215,66.3925094604492,82.8923492431641,50.322269439697294,22.5054931640625,20.8333339691162,0.276923596858978,28.1737422943115,0.273332973321279,32.25445199019051,27.503232955932624,59.36190261840822,6.707269287109381,18.111121749877938,0.2354601681232454,26.498358535766602,0.08916676839192701,1632.6442364214681,398.1562662568274,9.392111206054686,46.64834465195241
2022-07-22,34.302001953125,29.593914031982404,25.147991180419904,53.047794342040994,71.5848693847656,32.9846076965332,18.3641567230225,0.0,0.278195232152939,28.2735252380371,0.0,52.70058715336731,27.78493309020996,62.07462844848635,10.87393608093262,19.278906631469738,0.25014981627464306,26.763483428955077,0.14383336305618283,1724.739398040837,674.9955419964822,8.506026458740223,32.25445199019051
2022-07-25,31.390007019043,28.3033313751221,25.9959945678711,74.0517578125,85.6440124511719,56.8718223571777,23.1520805358887,12.5,0.259188592433929,28.3933525085449,0.157499819993973,33.18887159655415,28.24431648254394,61.85038070678712,10.87393608093262,19.64974060058596,0.26609912514686596,27.10008850097656,0.14383336305618283,1746.9217272483252,672.5570863869513,8.59457588195798,52.70058715336731
2022-07-27,29.4480056762695,25.3275833129883,20.1899909973145,63.2658157348633,83.7809066772461,43.939109802246094,17.4556579589844,0.0,0.254046976566315,25.201913833618203,0.0,50.72772354272783,28.7897159576416,66.12843856811523,13.37393608093262,21.33624382019046,0.27888443470001223,27.6086368560791,0.17533332705497742,1903.8189630983893,884.3975105418524,7.45347213745114,33.18887159655415
