Date,Damage,Foci,,,,,,
2022-07-29,456.87,,,,,,,
2022-07-29,456.87,,,,,,,
2022-07-29,26821.88,,,,,,,
2022-07-29,13710.81,,,,,,,
2022-07-29,12026.2,,,,,,,
2022-07-29,77114.48,,,,,,,
2022-08-01,1665.77,,,,,,,
2022-08-01,2168.955,,,,,,,
2022-08-01,1261.495,,,,,,,
2022-08-01,7933.21,,,,,,,
2022-08-01,262.975,,,,,,,
2022-08-01,931.01,,,,,,,
2022-08-01,423.9,,,,,,,
2022-08-01,358.745,,,,,,,
2022-08-01,25737.8,,,,,,,
2022-08-01,13286.13,,,,,,,
2022-08-01,13561.66,,,,,,,
2022-08-01,85133.25,,,,,,,
2022-08-03,4420.335,,,,,,,
2022-08-03,4192.685,,,,,,,
2022-08-03,2070.045,,,,,,,
2022-08-03,19300.01,,,,,,,
2022-08-03,698.65,,,,,,,
2022-08-03,1652.425,,,,,,,
2022-08-03,726.91,,,,,,,
2022-08-03,1409.075,,,,,,,
2022-08-03,43932.53,,,,,,,
2022-08-03,28803.22,,,,,,,
2022-08-03,22181.75,,,,,,,
2022-08-03,201261.4,,,,,,,
2022-08-08,5783.88,,,,,,,
2022-08-08,4736.69,,,,,,,
2022-08-08,3050.51,,,,,,,
2022-08-08,22480.05,,,,,,,
2022-08-08,408.985,,,,,,,
2022-08-08,1478.94,,,,,,,
2022-08-08,1439.69,,,,,,,
2022-08-08,1186.92,,,,,,,
2022-08-08,47202.05,,,,,,,
2022-08-08,28566.15,,,,,,,
2022-08-08,22995.01,,,,,,,
2022-08-08,203456.3,,,,,,,
2022-08-15,7861.775,,,,,,,
2022-08-15,3956.4,,,,,,,
2022-08-15,3545.845,,,,,,,
2022-08-15,21395.96,,,,,,,
2022-08-15,233.93,,,,,,,
2022-08-15,1140.605,,,,,,,
2022-08-15,1294.465,,,,,,,
2022-08-15,1347.06,,,,,,,
2022-08-15,51068.18,,,,,,,
2022-08-15,33795.82,,,,,,,
2022-08-15,35063.6,,,,,,,
2022-08-15,152663.7,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-22,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-23,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,78.5,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-25,0,,,,,,,
2023-05-27,0,,,,,,,
2023-05-27,0,,,,,,,
2023-05-27,0,,,,,,,
2023-05-27,0,,,,,,,
2023-05-27,0,,,,,,,
2023-05-27,0,,,,,,,
2023-05-27,0,,,,,,,
2023-05-27,0,,,,,,,
2023-05-27,167.205,,,,,,,
2023-05-27,230.005,,,,,,,
2023-05-27,100.48,,,,,,,
2023-05-27,94.985,,,,,,,
2023-05-29,0,,,,,,,
2023-05-29,155.43,,,,,,,
